iter	PairLogit	AverageGain:top=10
268	0.5684354832	0.3408045977
269	0.5682914375	0.3390804598
270	0.5678635821	0.3396551724
271	0.5677641331	0.3402298851
272	0.5674417974	0.3402298851
273	0.5671796596	0.3413793103
274	0.5669837397	0.3408045977
275	0.5667054814	0.3413793103
276	0.5665437366	0.3405172414
277	0.5663870678	0.3396551724
278	0.5660412102	0.341954023
279	0.5658536833	0.3413793103
280	0.5656487955	0.3408045977
281	0.565303974	0.3405172414
282	0.5649879567	0.3413793103
283	0.5646463236	0.3416666667
284	0.5644327291	0.3425287356
285	0.5642721488	0.3425287356
286	0.5639726046	0.341954023
287	0.5639317594	0.341954023
288	0.5638030137	0.341091954
289	0.5634450303	0.3416666667
290	0.5631553014	0.3413793103
291	0.5629678925	0.3416666667
292	0.5627393773	0.342816092
293	0.5626351768	0.3425287356
294	0.5624326846	0.3416666667
295	0.5621511926	0.3416666667
296	0.5619941372	0.3431034483
297	0.5618549528	0.3433908046
298	0.5615665978	0.3431034483
299	0.5612942663	0.3425287356
300	0.5610864328	0.3425287356
301	0.5609882398	0.3425287356
302	0.5608921034	0.3439655172
303	0.5606496168	0.3433908046
304	0.5605050515	0.3439655172
305	0.5602474069	0.3442528736
306	0.5601183364	0.3445402299
307	0.5599090043	0.3442528736
308	0.5597621084	0.3465517241
309	0.5596449681	0.3459770115
310	0.5593670933	0.3448275862
311	0.5590494668	0.3454022989
312	0.5588880864	0.3451149425
313	0.5586926491	0.3448275862
314	0.5582174784	0.3451149425
315	0.5580986804	0.3451149425
316	0.5577511353	0.3451149425
317	0.5575061513	0.3456896552
318	0.5574278506	0.3456896552
319	0.5571746956	0.3459770115
320	0.5569579353	0.3445402299
321	0.5568525965	0.3448275862
322	0.5566797195	0.3451149425
323	0.5564697748	0.3462643678
324	0.5563642812	0.3462643678
325	0.5561017599	0.3468390805
326	0.5557855138	0.3468390805
327	0.5555949882	0.3474137931
328	0.5553337743	0.3477011494
329	0.5551819575	0.3477011494
330	0.5549028112	0.3485632184
331	0.5546374442	0.3479885057
332	0.5544484685	0.3477011494
333	0.5539587222	0.3488505747
334	0.5536712439	0.3488505747
335	0.5532565358	0.3482758621
336	0.5529523299	0.3482758621
337	0.5526056025	0.3488505747
338	0.552222235	0.3494252874
339	0.551947499	0.3494252874
340	0.5518425825	0.349137931
341	0.5515979288	0.349137931
342	0.5513007939	0.349137931
343	0.5510156067	0.3511494253
344	0.5508518983	0.3517241379
345	0.5502125475	0.3520114943
346	0.5499723566	0.3514367816
347	0.5497735431	0.3511494253
348	0.5494813801	0.3511494253
349	0.5492092213	0.3525862069
350	0.5488022839	0.3525862069
351	0.5483828674	0.3531609195
352	0.5480032126	0.3534482759
353	0.5476474511	0.3537356322
354	0.5472776679	0.3522988506
355	0.5471136128	0.3522988506
356	0.5469433325	0.3531609195
357	0.5465069776	0.3537356322
358	0.5459703168	0.3534482759
359	0.5457605163	0.3534482759
360	0.5453540941	0.3525862069
361	0.5448281307	0.3525862069
362	0.5444371331	0.3531609195
363	0.5441514036	0.3540229885
364	0.543613753	0.3540229885
365	0.5431437769	0.3551724138
366	0.5426860788	0.3543103448
367	0.5424396605	0.3543103448
368	0.5421514221	0.3534482759
369	0.5417885394	0.3543103448
370	0.5413266094	0.3540229885
371	0.5408354833	0.3548850575
372	0.5405274128	0.3551724138
373	0.5400583118	0.3560344828
374	0.539801799	0.3566091954
375	0.5394158532	0.3563218391
376	0.5389667844	0.3566091954
377	0.5386516317	0.3566091954
378	0.5384872433	0.3566091954
379	0.5380336712	0.3566091954
380	0.5373942316	0.3566091954
381	0.5370223844	0.3566091954
382	0.536710761	0.3568965517
383	0.5362300848	0.357183908
384	0.5358657635	0.3568965517
385	0.5355756259	0.3591954023
386	0.5350770839	0.3594827586
387	0.5347891379	0.3603448276
388	0.5340542481	0.3609195402
389	0.5337246366	0.3609195402
390	0.5333337104	0.3606321839
391	0.5326607706	0.3617816092
392	0.5321809054	0.3614942529
393	0.5317531983	0.3614942529
394	0.5310704479	0.3629310345
395	0.5304359825	0.3632183908
396	0.5300292089	0.3629310345
397	0.5294433787	0.3635057471
398	0.5288557533	0.3637931034
399	0.5285249511	0.3643678161
400	0.5279679693	0.3649425287
401	0.5274003864	0.3637931034
402	0.5268417571	0.3649425287
403	0.5261468353	0.3643678161
404	0.5256315314	0.3643678161
405	0.524978336	0.3637931034
406	0.5243241922	0.3637931034
407	0.523757391	0.3635057471
408	0.5233411338	0.3646551724
409	0.5229056492	0.3646551724
410	0.5224480812	0.3646551724
411	0.5220149529	0.3652298851
412	0.5213388558	0.3658045977
413	0.520710734	0.3649425287
414	0.5199174973	0.3646551724
415	0.5195447928	0.3646551724
416	0.518955089	0.3655172414
417	0.5185389586	0.366091954
418	0.5179885295	0.366091954
419	0.5176164953	0.366091954
420	0.5170404289	0.3655172414
421	0.516571933	0.366954023
422	0.5161405083	0.3681034483
423	0.5156984496	0.3666666667
424	0.5152781734	0.3672413793
425	0.5148554643	0.3675287356
426	0.5142864404	0.3663793103
427	0.5137297167	0.3658045977
428	0.5126984059	0.3663793103
429	0.5121621164	0.3666666667
430	0.5113884453	0.367816092
431	0.5106685158	0.3672413793
432	0.5099626842	0.3666666667
433	0.5091669861	0.3672413793
434	0.5085164972	0.367816092
435	0.5079694616	0.3686781609
436	0.5072713574	0.3695402299
437	0.5067865872	0.3695402299
