iter	QueryRMSE	AverageGain:top=10
167	0.1713681997	0.3436781609
168	0.1713363254	0.3448275862
169	0.1712906363	0.3459770115
170	0.171243513	0.3456896552
171	0.1711934437	0.3454022989
172	0.1711475855	0.3451149425
173	0.1711227015	0.3451149425
174	0.1710572084	0.3462643678
175	0.1710220883	0.3462643678
176	0.1709655855	0.3468390805
177	0.1709069607	0.3471264368
178	0.1708548756	0.3474137931
179	0.1708049084	0.3474137931
180	0.1707344313	0.3477011494
181	0.1706783503	0.3477011494
182	0.1706265206	0.3477011494
183	0.1705882574	0.3485632184
184	0.1705508848	0.3485632184
185	0.1705037616	0.3477011494
186	0.1704636062	0.3479885057
187	0.1703799971	0.3502873563
188	0.1703360577	0.3505747126
189	0.1702576844	0.3520114943
190	0.1701951301	0.3522988506
191	0.1701221126	0.3537356322
192	0.1700655158	0.3537356322
193	0.1700304117	0.3528735632
194	0.1699915686	0.3528735632
195	0.1699519804	0.3531609195
196	0.1699048774	0.3537356322
197	0.1698558418	0.3531609195
198	0.1698052826	0.3543103448
199	0.1697719372	0.3543103448
200	0.1697476681	0.3543103448
201	0.1696916951	0.3540229885
202	0.1696493442	0.3543103448
203	0.1696094314	0.3545977011
204	0.1695677631	0.3543103448
205	0.1695414093	0.3537356322
206	0.1694914267	0.3537356322
207	0.1694467685	0.3537356322
208	0.1694122867	0.3543103448
209	0.1693790081	0.3551724138
210	0.1693286914	0.3566091954
211	0.1692947409	0.3568965517
212	0.1692503665	0.3577586207
213	0.1691908215	0.3574712644
214	0.1691525977	0.3583333333
215	0.1691190575	0.3586206897
216	0.1690953515	0.3583333333
217	0.1690512404	0.358045977
218	0.1690099906	0.3583333333
219	0.1689857806	0.3586206897
220	0.1689413218	0.358045977
221	0.1689009263	0.3568965517
222	0.1688710176	0.3586206897
223	0.1688390792	0.3586206897
224	0.1687891132	0.3577586207
225	0.1687542644	0.358908046
226	0.1687008408	0.3577586207
227	0.1686382236	0.3594827586
228	0.168607919	0.358908046
229	0.1685717242	0.358908046
230	0.1685130969	0.3591954023
231	0.1684673714	0.3594827586
232	0.168421088	0.3600574713
233	0.1683670002	0.3606321839
234	0.1683328459	0.3606321839
235	0.1682744157	0.3606321839
236	0.1682503447	0.3606321839
237	0.1682036585	0.3600574713
238	0.1681698912	0.3606321839
239	0.1681134491	0.3606321839
240	0.1680953732	0.3609195402
241	0.1680513374	0.3612068966
242	0.1680343152	0.3612068966
243	0.1680084301	0.3603448276
244	0.1679452504	0.3600574713
245	0.1679094071	0.3603448276
246	0.1678540659	0.3609195402
247	0.1678031653	0.3614942529
248	0.1677817359	0.3612068966
249	0.1677465207	0.3609195402
250	0.1677018648	0.3612068966
251	0.1676778195	0.3614942529
252	0.1676370042	0.3617816092
253	0.1675930153	0.3617816092
254	0.1675751635	0.3626436782
255	0.1675228064	0.3626436782
256	0.1674905382	0.3626436782
257	0.1674137059	0.3632183908
258	0.1673527563	0.3629310345
259	0.1673252106	0.3629310345
260	0.1672690291	0.3626436782
261	0.1672262158	0.3626436782
262	0.1671580739	0.3629310345
263	0.1671349469	0.3623563218
264	0.1670859771	0.3626436782
265	0.1670576536	0.3626436782
266	0.1670223885	0.3626436782
267	0.1669894276	0.3646551724
268	0.1669432122	0.3655172414
269	0.1668996942	0.3652298851
270	0.166858088	0.3640804598
271	0.1668152241	0.3640804598
272	0.1667847212	0.3643678161
273	0.166749637	0.3652298851
274	0.1667220489	0.3658045977
275	0.1666900075	0.366091954
276	0.1666609499	0.366091954
277	0.1666389435	0.366954023
278	0.1665927338	0.3675287356
279	0.1665486792	0.367816092
280	0.1665294253	0.3681034483
281	0.1664848022	0.3681034483
282	0.1664752885	0.3683908046
283	0.1664497086	0.3689655172
284	0.1664072491	0.3692528736
285	0.1663907368	0.3698275862
286	0.1663411316	0.3698275862
287	0.1663091854	0.3695402299
288	0.1662774383	0.3695402299
289	0.1662664325	0.3692528736
290	0.1662205405	0.3689655172
291	0.1661857596	0.3686781609
292	0.1661377125	0.3683908046
293	0.1660913803	0.3692528736
294	0.1660437427	0.3698275862
295	0.1660111872	0.3698275862
296	0.1659808915	0.3706896552
297	0.1659783684	0.3706896552
298	0.1659309794	0.3709770115
299	0.165865451	0.3712643678
300	0.1658220635	0.3709770115
301	0.1657825211	0.3715517241
302	0.1657475856	0.3735632184
303	0.1657029041	0.3709770115
304	0.1656971496	0.3709770115
305	0.1656549285	0.3718390805
306	0.1656355739	0.3718390805
307	0.1655765003	0.3718390805
308	0.1655387962	0.3721264368
309	0.1654966937	0.3727011494
310	0.1654522722	0.3738505747
311	0.1653952248	0.374137931
312	0.1653341337	0.3747126437
313	0.1652926155	0.3735632184
314	0.1652660448	0.3735632184
315	0.1652046648	0.3752873563
316	0.1651973802	0.3752873563
317	0.1651727972	0.3752873563
318	0.1651293106	0.3747126437
319	0.1650709231	0.3755747126
320	0.1650315603	0.375
321	0.1649775667	0.3755747126
322	0.1649273221	0.3770114943
323	0.1648875413	0.3767241379
324	0.1648385281	0.3764367816
325	0.164798177	0.3764367816
326	0.1647547574	0.3770114943
327	0.1647224425	0.3772988506
328	0.1646841875	0.3772988506
329	0.164648989	0.3778735632
330	0.1645996854	0.3778735632
331	0.1645479307	0.3787356322
332	0.1645288246	0.3787356322
333	0.1644973533	0.3790229885
334	0.1644942984	0.3787356322
335	0.1644476491	0.3790229885
336	0.1644245911	0.3790229885
337	0.1644173556	0.3790229885
338	0.1643807261	0.3795977011
339	0.1643416823	0.3801724138
340	0.1643015626	0.3807471264
341	0.1642670832	0.3810344828
342	0.1642362834	0.3807471264
343	0.1641899195	0.3804597701
344	0.1641333357	0.3807471264
345	0.1640966038	0.3807471264
346	0.1640612402	0.3807471264
347	0.164031399	0.3816091954
348	0.163975769	0.3813218391
349	0.1639529163	0.3816091954
350	0.1639068999	0.3818965517
351	0.163904013	0.3818965517
352	0.1638561836	0.3816091954
353	0.1638246699	0.3813218391
354	0.163777952	0.3810344828
355	0.1637525207	0.3810344828
356	0.1637178664	0.3818965517
357	0.1636728044	0.382183908
358	0.1636348497	0.382183908
359	0.163619145	0.3827586207
360	0.1635836439	0.382183908
361	0.1635439391	0.382183908
362	0.1635025964	0.3816091954
363	0.1634678445	0.3810344828
364	0.1634117689	0.3813218391
365	0.163384595	0.3813218391
366	0.163341644	0.382183908
367	0.163311785	0.382183908
368	0.1633084573	0.382183908
369	0.1632627762	0.3827586207
370	0.1632595502	0.3827586207
371	0.1632018939	0.383045977
372	0.1631465694	0.3827586207
373	0.1630987059	0.3836206897
374	0.1630724741	0.3841954023
375	0.1630256825	0.3841954023
376	0.1629857547	0.383045977
377	0.1629629639	0.383908046
378	0.1629284804	0.3841954023
379	0.1628710496	0.3847701149
380	0.1628302469	0.3850574713
381	0.1627887047	0.3859195402
382	0.1627308694	0.3853448276
383	0.1626970474	0.3836206897
384	0.1626920356	0.3836206897
385	0.1626512776	0.3850574713
386	0.1626191633	0.3853448276
387	0.1625836693	0.3847701149
388	0.1625358869	0.3862068966
389	0.1624872432	0.3864942529
390	0.1624384146	0.3873563218
391	0.1623908667	0.3885057471
392	0.1623532204	0.3896551724
393	0.1623502652	0.3896551724
394	0.1623131059	0.3893678161
395	0.1622814038	0.3899425287
396	0.1622367179	0.3902298851
397	0.1621906632	0.3899425287
398	0.1621502353	0.3899425287
399	0.1621105346	0.3893678161
400	0.162081717	0.3890804598
401	0.1620792521	0.3890804598
402	0.162023829	0.3899425287
403	0.1619971125	0.3902298851
404	0.1619499349	0.3896551724
405	0.1619035054	0.3896551724
406	0.1618584598	0.3893678161
407	0.1618122477	0.3893678161
408	0.161761422	0.3913793103
409	0.1617211363	0.3916666667
410	0.1616946511	0.3913793103
411	0.1616572738	0.3916666667
412	0.1616547263	0.3916666667
413	0.1616144207	0.3908045977
414	0.1615789269	0.3908045977
415	0.1615591807	0.391091954
416	0.1615173819	0.3908045977
417	0.1614828892	0.3908045977
418	0.1614802341	0.3908045977
419	0.1614739408	0.3908045977
420	0.1614265228	0.3922413793
421	0.1613892886	0.3933908046
422	0.1613464873	0.3936781609
423	0.1613434086	0.3936781609
424	0.1613072583	0.3936781609
425	0.1612689269	0.3939655172
426	0.1612319388	0.3936781609
427	0.1612294247	0.3936781609
428	0.1612018041	0.3936781609
429	0.1611600483	0.3931034483
430	0.1611102592	0.3936781609
431	0.1610571621	0.3936781609
432	0.1610090672	0.3931034483
433	0.1609717018	0.3925287356
434	0.1609233926	0.3922413793
435	0.1608828313	0.392816092
436	0.1608800887	0.392816092
437	0.1608463878	0.392816092
438	0.1607907845	0.3931034483
439	0.1607603722	0.3936781609
440	0.1607308279	0.3939655172
441	0.1606849781	0.3936781609
442	0.1606506596	0.3939655172
443	0.1605991941	0.3939655172
444	0.1605763607	0.3939655172
445	0.1605737042	0.3939655172
446	0.1605314542	0.3939655172
447	0.1604923581	0.3936781609
448	0.160474799	0.3936781609
449	0.1604477922	0.3942528736
450	0.1604168561	0.3942528736
451	0.1604146849	0.3942528736
452	0.1603641464	0.3948275862
453	0.1603359968	0.3948275862
454	0.1603072915	0.3954022989
455	0.1603044709	0.3954022989
456	0.1602682171	0.3959770115
457	0.1602252022	0.3959770115
458	0.160180798	0.3959770115
459	0.1601755652	0.3959770115
460	0.1601728796	0.3959770115
461	0.160135102	0.3959770115
462	0.1601264536	0.3959770115
463	0.1600806985	0.3954022989
464	0.1600376035	0.3956896552
465	0.1600037032	0.3956896552
466	0.15999394	0.3954022989
467	0.1599916347	0.3954022989
468	0.1599391753	0.3954022989
469	0.1599109845	0.3959770115
470	0.1598701103	0.3962643678
471	0.159839593	0.3962643678
472	0.1598189034	0.3959770115
473	0.1597836803	0.3959770115
474	0.1597514769	0.3956896552
475	0.1597131913	0.3956896552
476	0.159672417	0.3956896552
477	0.1596703297	0.3956896552
478	0.1596266922	0.3965517241
479	0.1596246603	0.3965517241
480	0.159584537	0.3965517241
