iter	Passed	Remaining
415	2966	11295
416	2973	11289
417	2981	11285
418	2988	11276
419	2994	11266
420	3001	11257
421	3008	11250
422	3015	11242
423	3021	11231
424	3028	11222
425	3034	11213
426	3041	11205
427	3048	11195
428	3055	11190
429	3063	11184
430	3070	11177
431	3077	11169
432	3084	11163
433	3091	11155
434	3098	11147
435	3105	11139
436	3112	11130
437	3118	11122
438	3126	11115
439	3133	11108
440	3140	11101
441	3147	11095
442	3155	11089
443	3162	11082
444	3169	11074
445	3176	11066
446	3183	11061
447	3191	11054
448	3199	11053
449	3206	11045
450	3213	11035
451	3219	11027
452	3226	11019
453	3233	11010
454	3239	11001
455	3246	10992
456	3253	10985
457	3261	10979
458	3268	10974
459	3275	10967
460	3282	10957
461	3288	10948
462	3295	10939
463	3301	10930
464	3311	10929
465	3317	10921
466	3324	10912
467	3331	10905
468	3338	10899
469	3346	10893
470	3354	10888
471	3361	10883
472	3369	10877
473	3376	10871
474	3384	10865
475	3392	10860
476	3399	10853
477	3405	10844
478	3413	10837
479	3419	10828
480	3426	10820
481	3432	10811
482	3439	10803
483	3446	10794
484	3452	10786
485	3459	10777
486	3466	10768
487	3472	10759
488	3480	10753
489	3487	10745
490	3493	10736
491	3499	10727
492	3506	10719
493	3514	10714
494	3526	10722
495	3537	10727
496	3549	10734
497	3560	10739
498	3569	10737
499	3576	10729
500	3583	10721
501	3591	10717
502	3600	10715
503	3608	10710
504	3615	10703
505	3622	10694
506	3628	10685
507	3635	10678
508	3642	10670
509	3649	10662
510	3656	10654
511	3664	10648
512	3670	10639
513	3677	10633
514	3684	10625
515	3691	10616
516	3698	10609
517	3705	10601
518	3712	10594
519	3719	10587
520	3726	10579
521	3733	10570
522	3739	10561
523	3747	10554
524	3754	10547
525	3761	10539
526	3768	10532
527	3775	10524
528	3782	10517
529	3789	10511
530	3797	10505
531	3805	10499
532	3812	10492
533	3818	10484
534	3825	10475
535	3832	10468
536	3840	10462
537	3848	10457
538	3854	10448
539	3861	10440
540	3868	10432
541	3876	10426
542	3883	10419
543	3890	10412
544	3897	10405
545	3904	10397
546	3911	10390
547	3918	10382
548	3924	10373
549	3931	10365
550	3939	10359
551	3952	10368
552	3959	10361
553	3967	10354
554	3973	10346
555	3983	10346
556	3994	10348
557	4002	10344
558	4010	10339
559	4017	10331
560	4024	10324
561	4031	10316
562	4039	10311
563	4047	10306
564	4054	10297
565	4061	10290
566	4067	10281
567	4075	10274
568	4082	10266
569	4088	10257
570	4095	10249
571	4102	10242
572	4109	10234
573	4116	10226
574	4123	10218
575	4129	10209
576	4136	10202
577	4143	10194
578	4150	10185
579	4156	10177
580	4163	10169
581	4171	10163
582	4178	10155
583	4184	10146
584	4191	10138
585	4198	10130
586	4205	10123
587	4212	10114
588	4218	10105
589	4224	10096
590	4231	10089
591	4239	10082
592	4246	10075
593	4253	10067
594	4262	10064
595	4270	10059
596	4277	10052
597	4284	10044
598	4291	10036
599	4298	10030
600	4306	10024
601	4313	10016
602	4320	10009
603	4327	10001
604	4334	9995
605	4341	9987
606	4348	9979
607	4355	9971
608	4363	9966
609	4370	9960
610	4378	9952
611	4384	9944
612	4391	9936
613	4399	9930
614	4406	9922
615	4414	9917
616	4421	9910
617	4429	9906
618	4437	9900
619	4444	9892
620	4450	9883
621	4457	9876
622	4464	9868
623	4471	9860
624	4478	9853
625	4485	9844
626	4492	9838
627	4499	9831
628	4506	9823
629	4513	9814
630	4519	9806
631	4526	9797
632	4533	9790
633	4540	9782
634	4546	9774
635	4554	9766
636	4561	9760
637	4568	9752
638	4575	9744
639	4581	9735
640	4587	9727
641	4594	9718
642	4605	9719
643	4614	9716
644	4623	9713
645	4631	9706
646	4637	9698
647	4644	9690
648	4651	9682
649	4658	9675
650	4665	9667
651	4672	9659
652	4678	9651
653	4686	9644
654	4692	9636
655	4699	9628
656	4706	9620
657	4712	9611
658	4719	9602
659	4725	9595
660	4732	9587
661	4739	9579
662	4746	9571
663	4753	9563
664	4760	9555
665	4766	9548
666	4773	9539
667	4779	9530
668	4786	9522
669	4793	9515
670	4800	9507
671	4806	9498
672	4813	9491
673	4820	9484
674	4827	9476
675	4834	9468
676	4841	9460
677	4848	9454
678	4856	9448
679	4864	9442
680	4871	9435
681	4879	9430
682	4887	9425
683	4895	9419
684	4903	9412
685	4910	9405
686	4917	9398
687	4924	9390
688	4931	9383
689	4938	9375
690	4960	9397
691	4969	9393
692	4978	9389
693	4985	9381
694	4992	9374
695	4999	9366
696	5006	9359
697	5013	9351
698	5019	9342
699	5027	9337
700	5034	9328
701	5040	9320
702	5047	9311
703	5053	9303
704	5060	9295
705	5067	9288
706	5074	9279
707	5080	9271
708	5087	9264
709	5094	9255
710	5100	9247
711	5107	9239
712	5114	9231
713	5120	9223
714	5127	9215
715	5135	9208
716	5141	9200
717	5148	9192
718	5155	9185
719	5162	9177
720	5169	9169
721	5175	9161
722	5182	9152
723	5189	9145
724	5195	9137
725	5202	9129
726	5209	9121
727	5215	9113
728	5223	9106
729	5230	9099
730	5237	9091
731	5244	9084
732	5251	9077
733	5258	9069
734	5265	9061
735	5272	9054
736	5279	9046
737	5285	9038
738	5292	9030
739	5298	9022
740	5306	9016
741	5313	9008
742	5320	9000
743	5327	8993
744	5333	8985
745	5340	8977
746	5347	8969
747	5354	8961
748	5361	8954
749	5368	8946
750	5375	8939
751	5383	8934
752	5391	8928
753	5399	8922
754	5406	8916
755	5414	8909
756	5422	8903
757	5431	8899
758	5438	8892
759	5446	8885
760	5453	8879
761	5460	8871
762	5468	8865
763	5475	8858
764	5482	8851
765	5489	8843
766	5495	8834
767	5502	8826
768	5509	8819
769	5517	8812
770	5524	8805
771	5530	8797
772	5537	8789
773	5544	8781
774	5553	8777
775	5559	8768
776	5565	8759
777	5571	8751
778	5578	8743
779	5585	8736
780	5592	8728
781	5598	8720
782	5605	8712
783	5613	8706
784	5620	8699
785	5627	8691
786	5634	8683
787	5640	8676
788	5648	8669
789	5655	8662
790	5662	8654
791	5668	8645
792	5674	8637
793	5682	8630
794	5688	8622
795	5695	8614
796	5702	8606
797	5709	8599
798	5714	8589
799	5721	8582
800	5728	8574
801	5734	8566
802	5742	8559
803	5749	8552
804	5756	8545
805	5763	8537
806	5769	8529
807	5776	8522
808	5783	8514
809	5790	8507
810	5797	8499
811	5803	8491
812	5811	8484
813	5818	8477
814	5824	8468
815	5831	8461
816	5838	8454
817	5845	8446
818	5853	8440
819	5860	8432
820	5867	8425
821	5873	8417
822	5880	8409
823	5890	8407
824	5897	8399
825	5905	8393
826	5912	8385
827	5919	8378
828	5926	8371
829	5933	8363
830	5941	8357
831	5948	8351
832	5968	8362
833	5977	8356
834	5984	8349
835	5990	8341
836	5997	8333
837	6004	8325
838	6010	8317
839	6018	8310
840	6024	8302
841	6031	8295
842	6037	8286
843	6045	8280
844	6051	8272
845	6058	8264
846	6065	8256
847	6072	8249
848	6078	8241
849	6085	8233
850	6092	8225
851	6099	8218
852	6106	8210
853	6113	8203
854	6120	8196
855	6127	8188
856	6133	8180
857	6140	8173
858	6148	8166
859	6155	8159
860	6162	8151
861	6169	8144
862	6175	8136
863	6182	8128
864	6189	8120
865	6195	8112
866	6201	8104
867	6208	8097
868	6215	8089
869	6223	8082
870	6230	8075
871	6236	8068
872	6243	8060
873	6251	8053
874	6257	8045
875	6264	8037
876	6271	8030
877	6278	8023
878	6285	8015
879	6291	8007
880	6298	7999
881	6305	7992
882	6311	7984
883	6318	7976
884	6324	7968
885	6331	7960
886	6338	7953
887	6345	7946
888	6352	7938
889	6359	7931
890	6366	7923
891	6373	7916
892	6380	7909
893	6387	7902
894	6394	7894
895	6401	7887
896	6407	7879
897	6414	7871
898	6421	7864
899	6428	7856
900	6435	7849
901	6443	7843
902	6450	7835
903	6456	7828
904	6464	7821
905	6471	7814
906	6478	7807
907	6485	7800
908	6493	7793
909	6500	7786
910	6508	7780
911	6515	7772
912	6522	7765
913	6529	7758
914	6536	7751
915	6544	7744
916	6551	7737
917	6558	7729
918	6564	7722
919	6571	7714
920	6578	7707
921	6585	7700
922	6593	7693
923	6599	7685
924	6606	7677
925	6613	7670
926	6620	7663
927	6627	7655
928	6634	7648
929	6640	7640
930	6647	7633
931	6654	7625
932	6660	7617
933	6667	7609
934	6674	7601
935	6680	7594
936	6687	7586
937	6694	7579
938	6700	7571
939	6707	7564
940	6714	7556
941	6721	7548
942	6727	7541
943	6734	7533
944	6741	7526
945	6748	7519
946	6755	7511
947	6762	7504
948	6769	7496
949	6775	7488
950	6781	7480
951	6788	7473
952	6795	7465
953	6804	7460
954	6810	7452
955	6816	7444
956	6823	7436
957	6830	7429
958	6837	7421
959	6846	7416
960	6853	7409
961	6860	7402
962	6867	7395
963	6874	7388
964	6881	7380
965	6888	7373
966	6895	7366
967	6902	7359
968	6909	7351
969	6916	7344
970	6924	7338
971	6931	7331
972	6938	7323
973	6945	7316
974	6952	7308
975	6971	7314
976	6978	7307
977	6985	7299
978	6993	7293
979	7000	7286
980	7006	7278
981	7013	7271
982	7020	7263
983	7027	7256
984	7035	7249
985	7041	7241
986	7048	7233
987	7055	7226
988	7063	7220
989	7070	7213
990	7077	7205
991	7083	7198
992	7090	7190
993	7097	7182
994	7103	7175
995	7110	7167
996	7117	7159
997	7125	7153
998	7131	7146
999	7138	7138
1000	7145	7131
1001	7151	7123
1002	7158	7115
1003	7165	7108
1004	7172	7100
1005	7178	7093
1006	7185	7085
1007	7193	7078
1008	7200	7071
1009	7206	7063
1010	7213	7056
1011	7220	7048
1012	7226	7041
1013	7233	7034
1014	7240	7026
1015	7247	7019
1016	7254	7012
1017	7261	7004
1018	7269	6998
1019	7277	6991
1020	7284	6985
1021	7292	6978
1022	7300	6971
1023	7307	6964
1024	7314	6958
1025	7322	6951
1026	7329	6944
1027	7336	6937
1028	7343	6929
1029	7350	6922
1030	7357	6915
1031	7364	6907
1032	7370	6900
1033	7377	6892
1034	7385	6885
1035	7392	6878
1036	7399	6871
1037	7406	6864
1038	7414	6857
1039	7421	6850
1040	7428	6843
1041	7435	6836
1042	7443	6829
1043	7450	6822
1044	7458	6815
1045	7464	6808
1046	7472	6801
1047	7478	6793
1048	7486	6786
1049	7495	6781
1050	7502	6774
1051	7510	6767
1052	7517	6760
1053	7525	6754
1054	7531	6746
1055	7539	6739
1056	7547	6733
1057	7555	6726
1058	7562	6719
1059	7569	6712
1060	7576	6705
1061	7583	6698
1062	7590	6690
1063	7597	6683
1064	7603	6675
1065	7611	6668
1066	7617	6661
1067	7624	6653
1068	7631	6646
1069	7639	6640
1070	7647	6633
1071	7654	6626
1072	7661	6619
1073	7668	6611
1074	7675	6604
1075	7682	6597
1076	7690	6591
1077	7697	6583
1078	7704	6576
1079	7711	6569
1080	7718	6561
1081	7725	6554
1082	7732	6547
1083	7739	6539
1084	7746	6532
1085	7753	6525
1086	7760	6517
1087	7767	6510
1088	7773	6503
1089	7781	6496
1090	7788	6488
1091	7794	6481
1092	7801	6473
1093	7808	6466
1094	7815	6459
1095	7822	6451
1096	7829	6444
1097	7836	6437
1098	7843	6430
1099	7850	6423
1100	7857	6415
1101	7864	6408
1102	7871	6401
1103	7877	6393
1104	7884	6386
1105	7890	6378
1106	7897	6370
1107	7904	6363
1108	7911	6356
1109	7918	6349
1110	7925	6341
1111	7933	6335
1112	7939	6327
1113	7945	6319
1114	7952	6312
1115	7959	6304
1116	7982	6310
1117	7989	6303
1118	7996	6296
1119	8003	6288
1120	8011	6281
1121	8018	6274
1122	8025	6267
1123	8033	6260
1124	8040	6253
1125	8048	6247
1126	8055	6239
1127	8061	6232
1128	8068	6224
1129	8075	6217
1130	8082	6210
1131	8089	6202
1132	8095	6195
1133	8102	6187
1134	8109	6180
1135	8116	6173
1136	8122	6165
1137	8129	6158
1138	8136	6150
1139	8143	6143
1140	8150	6136
1141	8157	6128
1142	8164	6121
1143	8170	6113
1144	8177	6106
1145	8184	6099
1146	8191	6091
1147	8198	6084
1148	8205	6077
1149	8212	6070
1150	8218	6062
