iter	Passed	Remaining
414	3220	12300
415	3228	12294
416	3236	12287
417	3245	12281
418	3254	12281
419	3263	12278
420	3272	12275
421	3281	12271
422	3291	12271
423	3299	12263
424	3307	12257
425	3315	12250
426	3325	12249
427	3333	12244
428	3342	12238
429	3349	12230
430	3357	12222
431	3365	12215
432	3375	12214
433	3384	12212
434	3393	12209
435	3402	12206
436	3411	12201
437	3421	12200
438	3430	12196
439	3438	12189
440	3446	12185
441	3456	12182
442	3464	12177
443	3474	12175
444	3483	12172
445	3491	12166
446	3499	12158
447	3508	12155
448	3517	12149
449	3525	12143
450	3533	12135
451	3541	12127
452	3548	12117
453	3556	12111
454	3564	12103
455	3572	12096
456	3580	12089
457	3588	12082
458	3596	12075
459	3603	12065
460	3610	12053
461	3618	12044
462	3625	12035
463	3633	12027
464	3640	12018
465	3648	12010
466	3656	12001
467	3663	11993
468	3671	11986
469	3679	11976
470	3686	11966
471	3693	11957
472	3701	11948
473	3708	11938
474	3715	11929
475	3723	11921
476	3731	11914
477	3739	11906
478	3746	11897
479	3754	11887
480	3761	11879
481	3768	11868
482	3775	11858
483	3783	11849
484	3790	11841
485	3798	11833
486	3807	11828
487	3815	11821
488	3822	11812
489	3830	11803
490	3837	11795
491	3846	11788
492	3854	11780
493	3862	11774
494	3870	11767
495	3878	11760
496	3886	11754
497	3894	11747
498	3903	11741
499	3912	11736
500	3920	11730
501	3928	11723
502	3936	11715
503	3944	11708
504	3959	11722
505	3967	11713
506	3974	11703
507	3981	11693
508	3988	11684
509	3997	11677
510	4006	11673
511	4014	11668
512	4023	11661
513	4031	11656
514	4041	11652
515	4050	11647
516	4058	11641
517	4067	11636
518	4076	11631
519	4084	11625
520	4093	11620
521	4103	11618
522	4111	11611
523	4120	11605
524	4128	11600
525	4136	11592
526	4147	11591
527	4155	11583
528	4163	11577
529	4171	11571
530	4179	11562
531	4188	11556
532	4196	11549
533	4203	11541
534	4211	11532
535	4219	11525
536	4227	11517
537	4235	11508
538	4242	11500
539	4251	11494
540	4259	11487
541	4267	11478
542	4273	11468
543	4280	11457
544	4287	11447
545	4295	11438
546	4302	11429
547	4309	11418
548	4316	11408
549	4322	11396
550	4329	11386
551	4336	11375
552	4343	11364
553	4350	11353
554	4357	11344
555	4364	11335
556	4371	11325
557	4379	11317
558	4386	11307
559	4393	11297
560	4400	11287
561	4407	11277
562	4414	11268
563	4423	11261
564	4430	11252
565	4437	11242
566	4444	11233
567	4451	11223
568	4459	11214
569	4465	11203
570	4472	11193
571	4479	11181
572	4486	11172
573	4493	11162
574	4499	11151
575	4507	11142
576	4513	11131
577	4520	11121
578	4527	11110
579	4533	11100
580	4540	11089
581	4547	11079
582	4554	11070
583	4561	11060
584	4568	11050
585	4575	11040
586	4581	11028
587	4590	11023
588	4597	11013
589	4604	11005
590	4612	10997
591	4620	10989
592	4628	10981
593	4635	10972
594	4642	10963
595	4650	10954
596	4657	10946
597	4665	10938
598	4672	10928
599	4680	10921
600	4687	10911
601	4695	10904
602	4703	10895
603	4710	10887
604	4717	10878
605	4724	10868
606	4732	10859
607	4739	10850
608	4747	10842
609	4753	10832
610	4761	10823
611	4768	10814
612	4775	10805
613	4783	10796
614	4790	10789
615	4798	10780
616	4806	10774
617	4814	10765
618	4822	10758
619	4829	10748
620	4836	10739
621	4843	10729
622	4850	10720
623	4857	10710
624	4863	10700
625	4870	10690
626	4877	10680
627	4884	10671
