iter	RMSE	AverageGain:top=10
123	0.168829461	0.3591642311
124	0.1687731904	0.3590313446
125	0.1686490393	0.3596867312
126	0.1686021177	0.3601048135
127	0.1684927801	0.3612268817
128	0.1684039306	0.360902534
129	0.1683357204	0.3619652234
130	0.1682787203	0.3625791345
131	0.1681734444	0.360752574
132	0.1679952364	0.3622494002
133	0.1679291941	0.3625938703
134	0.1678211024	0.3632138859
135	0.1677285756	0.3638361144
136	0.1676424289	0.3635738358
137	0.1675420506	0.3644657232
138	0.1674446271	0.3648739203
139	0.1673504392	0.3645579992
140	0.1672723987	0.364238839
141	0.1671727717	0.3643388568
142	0.1670831346	0.3657138849
143	0.1669799805	0.3675666899
144	0.1669020162	0.3679080336
145	0.1668268731	0.3695834597
146	0.166737637	0.3704946361
147	0.1666967493	0.3704946361
148	0.1665830859	0.3707197073
149	0.1664965946	0.3704793079
150	0.1664315368	0.3706068616
151	0.1663585796	0.3712941681
152	0.1662780118	0.372960642
153	0.1662005778	0.372415428
154	0.1660899038	0.372767954
155	0.16596621	0.3738174562
156	0.1659119108	0.3747428555
157	0.1658163226	0.3755527284
158	0.1657194731	0.3754281744
159	0.1655943307	0.3750941363
160	0.1654797048	0.3754461651
161	0.1653861637	0.3771890626
162	0.1652376574	0.3801279224
163	0.1651536697	0.3801279224
164	0.1650741824	0.3797806714
165	0.1649624889	0.3786702081
166	0.1648548593	0.3795412907
167	0.1648070704	0.3784426897
168	0.1647492675	0.3784461066
169	0.1646410996	0.3809030522
170	0.1645642749	0.3810858017
171	0.1644248159	0.3806264583
172	0.1643537729	0.3810575839
173	0.1642915377	0.3800666054
174	0.1642332733	0.379951687
175	0.1641524857	0.3815348079
176	0.164020844	0.3826984048
177	0.1639480856	0.383172521
178	0.1638672203	0.3831469804
179	0.163798617	0.3828513975
180	0.1637185455	0.3823125948
181	0.1636264965	0.3824192795
182	0.1635730928	0.3829875305
183	0.1634868695	0.3825291556
184	0.1633884158	0.382610998
185	0.1633134394	0.3845415464
186	0.1632077251	0.3854714522
187	0.1631082403	0.3859274033
188	0.1630575691	0.3856669059
189	0.1629819328	0.3863189439
190	0.16290343	0.3867192922
191	0.162780838	0.3860975951
192	0.1626958172	0.3858031614
193	0.1626456815	0.3859927706
194	0.162563522	0.3865544543
195	0.1624888988	0.3876729403
196	0.1624404604	0.3885426665
197	0.1623558833	0.3892755647
198	0.1622935966	0.3892736781
199	0.1622302109	0.3909494752
200	0.1621390924	0.3924559581
201	0.1620498114	0.3924578447
202	0.1619940032	0.3924578447
203	0.1618823271	0.3928654015
204	0.1617916496	0.3926523229
205	0.1616903801	0.3933370557
206	0.1616381056	0.3936710937
207	0.1615344811	0.3925784951
208	0.1614351366	0.393253713
209	0.1613467276	0.3943755609
210	0.1612809838	0.3949243385
211	0.1611771769	0.3936556865
212	0.1610969028	0.3939637308
213	0.1610195508	0.3946888202
214	0.1609531437	0.3931259816
215	0.1608717597	0.3946814576
216	0.1607897494	0.3945538642
217	0.1607122165	0.3958647277
218	0.1606179101	0.396293591
219	0.1605691262	0.3962898179
220	0.1604978403	0.3961936251
221	0.1604040604	0.3966977744
222	0.1603110144	0.3967434575
223	0.160193385	0.3973727308
224	0.1601502317	0.3970891998
225	0.1600936599	0.3974950218
226	0.1600564831	0.3974950218
227	0.1599684389	0.397532902
228	0.1599113386	0.3981220673
229	0.1598543456	0.3974883719
230	0.1597609662	0.3984520112
231	0.159690406	0.3996512162
232	0.1596063487	0.4002463012
233	0.159533797	0.3986092155
234	0.1594847992	0.397513833
235	0.1593589188	0.3992954907
236	0.1592649598	0.3990611268
237	0.1591416337	0.4009785503
238	0.1590407507	0.4015727729
239	0.1589433273	0.4015629033
240	0.1588801136	0.4026570033
241	0.1588371075	0.4029910414
242	0.1586812782	0.4030322088
243	0.1585912803	0.4033862989
244	0.158522475	0.4033862989
245	0.1584473937	0.4033383224
246	0.158395119	0.4031039584
247	0.1582838837	0.4035401965
248	0.1581883991	0.4036879879
249	0.1581624884	0.4036879879
250	0.1581596243	0.4036879879
251	0.158063336	0.4041913398
252	0.157978789	0.4041913398
253	0.1579016138	0.404866414
254	0.157845129	0.4048695514
255	0.1577701566	0.4052212154
256	0.1577229975	0.4052723157
257	0.1576419672	0.4052723157
258	0.1575779673	0.4052723157
259	0.1575143677	0.4064341857
260	0.1574745397	0.4061174146
261	0.1574028376	0.4056409321
262	0.1573635198	0.4056409321
263	0.1573059176	0.406041
264	0.1572389248	0.406041
265	0.1571379244	0.4059481844
266	0.1570425873	0.4065640842
267	0.156973533	0.40810925
268	0.1568535176	0.4087131574
269	0.1567819572	0.4085240889
270	0.1567272996	0.4085240889
271	0.1566620253	0.409666129
272	0.1565773468	0.4102593616
273	0.1565157402	0.4102543836
274	0.1564505599	0.4106881711
275	0.1563757399	0.4104709603
276	0.1563179198	0.4110542418
277	0.1562597254	0.4118528414
278	0.1561895576	0.4123603215
279	0.1561159055	0.4136122972
280	0.1560518289	0.4139463352
281	0.1559695948	0.4136685137
282	0.1558612359	0.4145064465
283	0.15577112	0.4145293748
284	0.1557296514	0.4139908301
285	0.1556533397	0.4150449913
286	0.1555471637	0.4167863121
287	0.1554536404	0.4165664043
288	0.1554067537	0.4167425637
289	0.1553492971	0.4170260948
290	0.1552794719	0.4167218732
291	0.1552069233	0.4169413759
292	0.155116217	0.4168759064
293	0.1550479947	0.4168759064
294	0.154978408	0.4165418253
295	0.1549206068	0.4165418253
296	0.1548786525	0.4165418253
297	0.154858767	0.4165418253
298	0.1547784992	0.4166135365
299	0.1547166036	0.4169091194
300	0.1546458111	0.4174479221
301	0.1545804046	0.4174510595
302	0.1545047277	0.4174510595
303	0.15445135	0.4174510595
304	0.1543552398	0.4174178378
305	0.1542846973	0.4174510595
306	0.1542270634	0.4174510595
307	0.1541839354	0.4174510595
308	0.154120379	0.4174098206
309	0.1540098983	0.4176578399
310	0.153930615	0.4176578399
311	0.1538507253	0.4185785185
312	0.153804422	0.4180296804
313	0.153770905	0.4173127803
314	0.1536831705	0.4173127803
315	0.1536065728	0.4173169335
316	0.1535568398	0.4181783894
317	0.1534692258	0.4181451678
318	0.1533709768	0.4184619389
319	0.1532770203	0.4177279944
320	0.1532032286	0.4172165311
321	0.1531593017	0.4172165311
322	0.153109716	0.4172165311
323	0.1530416641	0.4170256041
324	0.1529595741	0.4177743495
325	0.1528959656	0.4182603695
326	0.1528846515	0.4190965221
327	0.1528120051	0.4194132932
328	0.1527349787	0.4199085043
329	0.1526575555	0.4185350512
330	0.1526019949	0.4188234271
331	0.1525553939	0.4192799077
332	0.152443042	0.4191321163
333	0.1523431801	0.4198660608
334	0.1522595696	0.4201438042
335	0.1522063995	0.4204288258
336	0.1521328505	0.420967897
337	0.1520399573	0.4209710344
338	0.1519884873	0.4209710344
339	0.1519577028	0.4209710344
340	0.1518887324	0.4208410824
341	0.1518857238	0.4208410824
342	0.1518620489	0.4208410824
343	0.1518000782	0.4209136492
344	0.151715487	0.421104776
345	0.1516426327	0.4217419693
346	0.1515600542	0.4221172462
347	0.1514821026	0.4215920813
348	0.1514335014	0.4215920813
349	0.1513580488	0.4214181219
350	0.1512875277	0.4218048368
351	0.1512179133	0.4221564066
352	0.1512152292	0.4221564066
353	0.1511580334	0.4226954778
354	0.1511029945	0.4235175536
355	0.1510422294	0.4233697622
356	0.1509810029	0.4235298153
357	0.1508902414	0.4232130442
358	0.1508089591	0.4230484782
359	0.1507462066	0.422541332
360	0.1506865352	0.422671362
361	0.1506065317	0.4228559686
362	0.1506048588	0.4228559686
363	0.1505219883	0.4241831021
364	0.1504478762	0.4238077534
365	0.1503973457	0.4238077534
366	0.1503530275	0.4238077534
367	0.1502942246	0.4241203964
368	0.1502681404	0.4246318596
369	0.1501936125	0.4243219658
370	0.1501289172	0.4250443514
371	0.1500866059	0.4250443514
372	0.1500181228	0.4248891203
373	0.1500155054	0.4248891203
374	0.149974824	0.4244766285
375	0.149933959	0.4250823965
376	0.1498501666	0.4254164345
377	0.1497920908	0.4250039427
378	0.1497118755	0.4259549793
379	0.1496662861	0.4259549793
380	0.14960339	0.4259549793
381	0.1495395055	0.4259549793
382	0.149536599	0.4259549793
383	0.1494866945	0.4259549793
384	0.149428757	0.4259549793
385	0.1493731181	0.4262717504
386	0.1492997237	0.4269530824
387	0.1492078287	0.4267930294
388	0.1491549539	0.4281377732
389	0.1490787687	0.4275707112
390	0.1490132404	0.4270766201
391	0.1489653452	0.4270766201
392	0.1489193137	0.4263044211
393	0.1488722354	0.4264644742
394	0.1488119146	0.4264644742
395	0.1487638632	0.4264644742
396	0.148708577	0.426898645
397	0.148706169	0.426898645
398	0.1486621787	0.4275179223
399	0.1485953367	0.4275179223
400	0.1485331758	0.4275179223
401	0.1484731332	0.4271838842
402	0.1484018203	0.4280317538
403	0.1483519708	0.4281891827
404	0.1482986416	0.4281891827
405	0.1482306468	0.4281083604
406	0.1481428603	0.4287685063
407	0.1480849126	0.4287685063
408	0.1480542419	0.4287685063
409	0.1480066537	0.4282014443
410	0.1480053939	0.4282014443
411	0.1479503346	0.4282014443
412	0.1478763573	0.4291767025
413	0.1478294201	0.4291767025
414	0.147776143	0.4293341633
415	0.1477232104	0.4293341633
416	0.1476605888	0.4293341633
417	0.1475916943	0.4293341633
418	0.1475198417	0.4286335228
419	0.1474831317	0.4293341633
420	0.1474172475	0.4293373006
421	0.1473491539	0.4287993249
422	0.1473014795	0.4287993249
423	0.1472988973	0.4287993249
424	0.1472422024	0.4288375735
425	0.1471947992	0.4291878257
426	0.1471153854	0.428979751
427	0.1470062028	0.4282697923
428	0.1469395129	0.429843824
429	0.146872529	0.4308842429
430	0.146822198	0.4308842429
431	0.1467831094	0.4313046399
432	0.1467426051	0.4313046399
433	0.1467075452	0.4316907394
434	0.1466505104	0.4322735209
435	0.1465876381	0.4322174654
436	0.1465853428	0.4322174654
437	0.1465379931	0.4319903446
438	0.1464745853	0.4309174127
439	0.1464273516	0.4321652064
440	0.1463843055	0.4316896117
441	0.1463256298	0.4316896117
442	0.1462893293	0.4316896117
443	0.1462265058	0.4318976864
444	0.1461759222	0.432184
445	0.1461193536	0.4323649626
446	0.146082322	0.4326339505
447	0.1460145378	0.4320480316
448	0.1459256509	0.4320480316
449	0.1458704708	0.4317617179
450	0.1458170424	0.4317617179
451	0.1457552372	0.4328395464
452	0.1457533541	0.4328395464
453	0.1457108486	0.432484745
454	0.1456735406	0.4333151411
455	0.1456401189	0.4333151411
456	0.1455569603	0.433164807
457	0.1454915475	0.4322550415
458	0.1454017123	0.4354735411
459	0.145366881	0.4360345482
460	0.1453650267	0.4360345482
461	0.1452904394	0.435524243
462	0.1452691027	0.435524243
463	0.1452091762	0.4359584138
464	0.1451824501	0.4359615512
465	0.1451419608	0.4359615512
466	0.1451400137	0.4359615512
467	0.1451383589	0.4359615512
468	0.1450837598	0.4352484521
469	0.1450089116	0.4352484521
470	0.1449710449	0.4363431471
471	0.1448933143	0.4352192843
472	0.1448605047	0.4352192843
473	0.1448150512	0.4358052032
474	0.1447870517	0.4363442745
475	0.1447240743	0.4363790214
476	0.1446331493	0.4373649213
477	0.1445960654	0.4370146692
478	0.1445366235	0.4374044852
479	0.1444714165	0.4383857535
480	0.1444087481	0.4365761017
481	0.1443540463	0.4369055452
482	0.1443240546	0.4369055452
483	0.1442579797	0.4374978225
484	0.1441851105	0.4368591944
485	0.1441317662	0.4376850412
486	0.1441083113	0.4376850412
487	0.1440555271	0.4384205372
488	0.1440040404	0.4384205372
489	0.1439564366	0.4381618723
490	0.1439140022	0.4390058913
491	0.1438536149	0.4395449625
492	0.1438529022	0.4395449625
493	0.143799024	0.4401308814
494	0.1437359701	0.4395620991
495	0.1436721974	0.4395620991
496	0.1436257602	0.4406682323
497	0.1436168998	0.4409781262
498	0.1435511663	0.4412459239
