iter	AverageGain:top=10
236	0.3925287356
237	0.3933908046
238	0.3933908046
239	0.3925287356
240	0.391954023
241	0.3931034483
242	0.3931034483
243	0.3939655172
244	0.3945402299
245	0.3942528736
246	0.3954022989
247	0.3948275862
248	0.3962643678
249	0.3965517241
250	0.3956896552
251	0.3962643678
252	0.3948275862
253	0.3956896552
254	0.3959770115
255	0.3954022989
256	0.3954022989
257	0.3948275862
258	0.3945402299
259	0.3954022989
260	0.3962643678
261	0.3965517241
262	0.3979885057
263	0.3979885057
264	0.3977011494
265	0.3979885057
266	0.3985632184
267	0.3985632184
268	0.399137931
269	0.3994252874
270	0.3988505747
271	0.3979885057
272	0.3979885057
273	0.3985632184
274	0.3982758621
275	0.3988505747
276	0.3985632184
277	0.3985632184
278	0.3974137931
279	0.3977011494
280	0.3979885057
281	0.3977011494
282	0.3971264368
283	0.3982758621
284	0.3968390805
285	0.3974137931
286	0.3971264368
287	0.3988505747
288	0.4002873563
289	0.399137931
290	0.3985632184
291	0.400862069
292	0.4020114943
293	0.4014367816
294	0.400862069
295	0.4017241379
296	0.4017241379
297	0.4020114943
298	0.4022988506
299	0.4017241379
300	0.4020114943
301	0.4025862069
302	0.4025862069
303	0.4025862069
304	0.4028735632
305	0.4045977011
306	0.4040229885
307	0.4028735632
308	0.4028735632
309	0.4043103448
310	0.4034482759
311	0.4031609195
312	0.4034482759
313	0.4040229885
314	0.4045977011
315	0.4043103448
316	0.4040229885
317	0.4051724138
318	0.4066091954
319	0.4066091954
320	0.4057471264
321	0.4063218391
322	0.4060344828
323	0.4063218391
324	0.4066091954
325	0.4063218391
326	0.4066091954
327	0.4063218391
328	0.4063218391
329	0.4074712644
330	0.4083333333
331	0.408908046
332	0.4091954023
333	0.4086206897
334	0.4086206897
335	0.408908046
336	0.4097701149
337	0.4094827586
338	0.408908046
339	0.408908046
340	0.4091954023
341	0.4091954023
342	0.4091954023
343	0.4094827586
344	0.4094827586
345	0.4094827586
346	0.4100574713
347	0.4103448276
348	0.4094827586
349	0.4094827586
350	0.4097701149
351	0.4103448276
352	0.4103448276
353	0.4109195402
354	0.4114942529
355	0.4114942529
356	0.4123563218
357	0.4120689655
358	0.4126436782
359	0.4123563218
360	0.4123563218
361	0.4120689655
362	0.4120689655
363	0.4117816092
364	0.4112068966
365	0.4114942529
366	0.4112068966
367	0.4120689655
368	0.4123563218
369	0.4123563218
370	0.4132183908
371	0.4126436782
372	0.4126436782
373	0.4126436782
374	0.4132183908
375	0.4123563218
376	0.4120689655
377	0.4112068966
378	0.4117816092
379	0.4120689655
380	0.4120689655
381	0.4120689655
382	0.4129310345
383	0.4132183908
384	0.4140804598
385	0.4155172414
386	0.4155172414
387	0.4158045977
388	0.416091954
389	0.4163793103
390	0.416091954
391	0.416091954
392	0.4158045977
393	0.4172413793
394	0.4175287356
395	0.4181034483
396	0.4175287356
397	0.4175287356
398	0.4172413793
399	0.417816092
400	0.4186781609
401	0.4183908046
402	0.4181034483
403	0.4181034483
404	0.4183908046
405	0.4183908046
406	0.4183908046
407	0.4189655172
408	0.4192528736
409	0.4192528736
410	0.4189655172
411	0.4181034483
412	0.4181034483
413	0.4186781609
414	0.4181034483
415	0.4181034483
416	0.417816092
417	0.4181034483
418	0.4181034483
419	0.4183908046
420	0.4181034483
421	0.417816092
422	0.4172413793
423	0.4172413793
424	0.4172413793
425	0.416954023
426	0.4172413793
427	0.416954023
428	0.4181034483
429	0.417816092
430	0.4186781609
431	0.4189655172
432	0.4186781609
433	0.4181034483
434	0.4189655172
435	0.4192528736
436	0.4192528736
437	0.4198275862
438	0.4209770115
439	0.4209770115
440	0.4209770115
441	0.4209770115
442	0.4206896552
443	0.4201149425
444	0.4204022989
445	0.4204022989
446	0.4209770115
447	0.4212643678
448	0.4209770115
449	0.4212643678
450	0.4209770115
451	0.4215517241
452	0.4215517241
453	0.4221264368
454	0.4224137931
455	0.4221264368
456	0.4221264368
457	0.4221264368
458	0.4229885057
459	0.4229885057
460	0.4229885057
461	0.4227011494
462	0.4235632184
463	0.4232758621
464	0.4224137931
465	0.4229885057
466	0.4235632184
467	0.4238505747
468	0.4238505747
469	0.4238505747
470	0.4235632184
471	0.4232758621
472	0.4235632184
473	0.4238505747
474	0.4235632184
475	0.4247126437
476	0.4247126437
477	0.425
478	0.424137931
479	0.4252873563
480	0.4247126437
481	0.4255747126
482	0.4255747126
483	0.4252873563
484	0.425862069
485	0.425862069
486	0.425862069
487	0.425862069
488	0.425862069
489	0.4255747126
490	0.4255747126
491	0.425862069
492	0.425862069
493	0.425862069
494	0.4261494253
495	0.4261494253
496	0.4267241379
497	0.4264367816
498	0.4264367816
499	0.4264367816
500	0.4270114943
501	0.4267241379
502	0.4264367816
503	0.4267241379
504	0.4267241379
505	0.4270114943
506	0.4275862069
507	0.4275862069
508	0.4275862069
509	0.4287356322
510	0.4287356322
511	0.4295977011
512	0.4295977011
513	0.4295977011
514	0.4295977011
515	0.4295977011
516	0.4293103448
517	0.4287356322
518	0.4290229885
519	0.4290229885
520	0.4290229885
521	0.4287356322
522	0.4290229885
523	0.4290229885
524	0.4290229885
525	0.4290229885
526	0.4293103448
527	0.4290229885
528	0.4301724138
529	0.4301724138
530	0.4301724138
531	0.4295977011
532	0.4293103448
533	0.4293103448
534	0.4290229885
535	0.4284482759
536	0.4290229885
537	0.4293103448
538	0.4298850575
539	0.4295977011
540	0.4301724138
541	0.4298850575
542	0.4304597701
543	0.4304597701
544	0.4310344828
545	0.4307471264
546	0.4304597701
547	0.4304597701
548	0.4313218391
549	0.4310344828
550	0.4310344828
551	0.4310344828
552	0.4310344828
553	0.4318965517
554	0.432183908
555	0.432183908
556	0.432183908
557	0.4327586207
558	0.4327586207
559	0.4344827586
560	0.4341954023
561	0.433045977
562	0.433045977
563	0.4336206897
564	0.4336206897
565	0.433908046
566	0.433908046
567	0.4336206897
568	0.4336206897
569	0.4336206897
570	0.4336206897
571	0.433908046
572	0.433908046
573	0.4341954023
574	0.4341954023
575	0.4356321839
576	0.4341954023
577	0.4341954023
578	0.433908046
579	0.4341954023
580	0.4336206897
581	0.433908046
582	0.4344827586
583	0.4350574713
584	0.4356321839
585	0.4353448276
586	0.4356321839
587	0.4362068966
588	0.4362068966
589	0.4362068966
590	0.4359195402
591	0.4364942529
592	0.4364942529
593	0.4359195402
594	0.4353448276
595	0.4356321839
596	0.4356321839
597	0.4362068966
598	0.4364942529
599	0.4367816092
600	0.4373563218
601	0.4370689655
602	0.4367816092
603	0.4373563218
604	0.4370689655
605	0.4364942529
606	0.4370689655
607	0.4370689655
608	0.4367816092
609	0.4367816092
610	0.4373563218
611	0.4364942529
612	0.4364942529
613	0.4364942529
614	0.4370689655
615	0.4364942529
616	0.4370689655
617	0.4376436782
618	0.4379310345
619	0.4376436782
620	0.4385057471
621	0.4390804598
622	0.4390804598
623	0.4390804598
624	0.4390804598
625	0.4393678161
626	0.4399425287
627	0.4399425287
628	0.4396551724
629	0.4399425287
630	0.4399425287
631	0.4399425287
632	0.4399425287
633	0.4396551724
634	0.4390804598
635	0.4393678161
636	0.4390804598
637	0.4390804598
638	0.4390804598
639	0.4393678161
640	0.4396551724
641	0.4393678161
642	0.4393678161
643	0.441091954
644	0.4408045977
645	0.4416666667
646	0.4413793103
647	0.4416666667
648	0.4413793103
649	0.4413793103
650	0.4413793103
651	0.4416666667
652	0.4413793103
653	0.4416666667
654	0.4413793103
655	0.4413793103
656	0.4416666667
657	0.4413793103
658	0.4413793103
659	0.4413793103
660	0.4416666667
661	0.4422413793
662	0.441954023
663	0.441954023
664	0.441954023
665	0.441954023
666	0.4422413793
667	0.4422413793
668	0.441954023
669	0.441954023
670	0.4425287356
671	0.4425287356
672	0.4422413793
673	0.4425287356
674	0.4433908046
675	0.442816092
676	0.4431034483
677	0.4433908046
678	0.4439655172
679	0.4439655172
680	0.4448275862
681	0.4445402299
682	0.4445402299
683	0.4448275862
684	0.4451149425
685	0.4454022989
686	0.4454022989
687	0.4454022989
688	0.4454022989
689	0.4454022989
690	0.4459770115
691	0.4465517241
692	0.4462643678
693	0.4462643678
694	0.4462643678
695	0.4465517241
696	0.4468390805
697	0.4465517241
698	0.4465517241
699	0.4465517241
700	0.4462643678
701	0.4465517241
702	0.4468390805
703	0.4465517241
704	0.4471264368
705	0.4471264368
706	0.4477011494
707	0.4477011494
708	0.4479885057
709	0.4479885057
710	0.4482758621
711	0.4482758621
712	0.4485632184
713	0.4485632184
714	0.4485632184
715	0.449137931
716	0.4494252874
717	0.449137931
718	0.449137931
719	0.449137931
720	0.4494252874
721	0.4497126437
722	0.4497126437
723	0.4497126437
724	0.4494252874
725	0.4497126437
726	0.4494252874
727	0.4488505747
728	0.4494252874
729	0.45
730	0.4502873563
731	0.4502873563
732	0.45
733	0.4502873563
734	0.4505747126
735	0.4514367816
736	0.450862069
737	0.450862069
738	0.450862069
739	0.4511494253
740	0.450862069
741	0.450862069
742	0.450862069
743	0.4502873563
744	0.4514367816
745	0.4514367816
746	0.4505747126
747	0.4502873563
748	0.4514367816
749	0.4514367816
750	0.4514367816
751	0.4514367816
752	0.4514367816
753	0.4517241379
754	0.4517241379
755	0.4517241379
756	0.4514367816
757	0.4514367816
758	0.4514367816
759	0.4514367816
760	0.4514367816
761	0.4517241379
762	0.4517241379
763	0.4517241379
764	0.4517241379
765	0.4520114943
766	0.4517241379
767	0.4522988506
768	0.4522988506
769	0.4528735632
770	0.4528735632
771	0.4525862069
772	0.4525862069
773	0.4525862069
774	0.4522988506
775	0.4525862069
776	0.4525862069
777	0.4531609195
778	0.4534482759
779	0.4531609195
780	0.4531609195
781	0.4528735632
782	0.4528735632
783	0.4531609195
784	0.4528735632
785	0.4534482759
786	0.4534482759
787	0.4531609195
788	0.4534482759
789	0.4534482759
790	0.4534482759
791	0.4540229885
792	0.4537356322
793	0.4537356322
794	0.4537356322
795	0.4537356322
796	0.4543103448
797	0.4543103448
798	0.4548850575
799	0.4548850575
800	0.4548850575
801	0.4551724138
802	0.4551724138
803	0.4554597701
804	0.4554597701
805	0.4551724138
806	0.4554597701
807	0.4554597701
808	0.4557471264
809	0.4557471264
810	0.4557471264
811	0.4557471264
812	0.4563218391
813	0.4563218391
814	0.4560344828
815	0.4560344828
816	0.4560344828
817	0.4560344828
818	0.4560344828
819	0.4560344828
820	0.4560344828
821	0.4557471264
822	0.4557471264
823	0.4557471264
824	0.4560344828
825	0.4560344828
826	0.4554597701
827	0.4554597701
828	0.4557471264
829	0.4557471264
830	0.4557471264
831	0.4554597701
832	0.4554597701
833	0.4557471264
834	0.4554597701
835	0.4554597701
836	0.4557471264
837	0.4560344828
838	0.4560344828
839	0.4560344828
840	0.4560344828
841	0.4560344828
842	0.4557471264
843	0.4557471264
844	0.4551724138
845	0.4551724138
846	0.4551724138
847	0.4551724138
848	0.4551724138
849	0.4551724138
850	0.4551724138
851	0.4554597701
852	0.4557471264
853	0.4557471264
854	0.4554597701
855	0.4548850575
856	0.4554597701
857	0.4554597701
858	0.4557471264
859	0.4557471264
860	0.4557471264
861	0.4560344828
862	0.4560344828
863	0.4560344828
864	0.4563218391
865	0.4566091954
866	0.457183908
867	0.4574712644
868	0.4574712644
869	0.457183908
870	0.4574712644
871	0.4574712644
872	0.457183908
873	0.457183908
874	0.457183908
875	0.4577586207
876	0.457183908
877	0.457183908
878	0.457183908
879	0.457183908
