iter	MultiClass
132	0.1964620903
133	0.1959012188
134	0.1954733881
135	0.1950826885
136	0.1947313086
137	0.1944529378
138	0.1942487739
139	0.1940622766
140	0.1936256925
141	0.1932367246
142	0.1928355237
143	0.1924815118
144	0.1923209641
145	0.1918125687
146	0.1914650614
147	0.1910801665
148	0.1908359004
149	0.1903147708
150	0.1901424082
151	0.1896155241
152	0.1894406033
153	0.1889618334
154	0.1885059185
155	0.1877895149
156	0.1874695959
157	0.1872273438
158	0.1868643478
159	0.1862491891
160	0.1859118737
161	0.1855478759
162	0.1853370896
163	0.1849902305
164	0.1845485787
165	0.1842013766
166	0.1838825661
167	0.1834753597
168	0.1833379163
169	0.1826820355
170	0.1823400646
171	0.1816698445
172	0.1813305473
173	0.1810719972
174	0.1806577109
175	0.1803937076
176	0.1802871894
177	0.1799234335
178	0.1795071643
179	0.1790626202
180	0.1787057822
181	0.1782987267
182	0.1780321629
183	0.1778518373
184	0.1775290977
185	0.1772821918
186	0.1771616575
187	0.1768263921
188	0.1764725256
189	0.1761363178
190	0.1757758112
191	0.1755555683
192	0.175257281
193	0.1750226827
194	0.1748212068
195	0.1747025827
196	0.174466541
197	0.174066867
198	0.1738846983
199	0.1734797858
200	0.172891749
201	0.172451784
202	0.172164949
203	0.1718978529
204	0.1716486769
205	0.1713481951
206	0.1709266473
207	0.1703371832
208	0.1700368032
209	0.1699334921
210	0.1695078171
211	0.1693992216
212	0.1691611813
213	0.1688609905
214	0.1683840876
215	0.1676425247
216	0.1672763907
217	0.1670769194
218	0.1667458925
219	0.1663777398
220	0.1660379709
221	0.1656581662
222	0.1654494303
223	0.1652480649
224	0.165141307
225	0.1647092596
226	0.1644920702
227	0.1640833202
228	0.1639170599
229	0.1636280353
230	0.1633301446
231	0.1630214935
232	0.1628363794
233	0.1626307986
234	0.1619984995
235	0.1617628503
236	0.1615119075
237	0.1611400482
238	0.16101065
239	0.1609042099
240	0.1607297094
241	0.1604972176
242	0.160289515
243	0.1599788299
244	0.1597882085
245	0.1595723854
246	0.1592895752
247	0.1589740121
248	0.1588582509
249	0.1585720298
250	0.1582704366
251	0.1579902678
252	0.1578593629
253	0.1577344864
254	0.157461215
255	0.1571663961
256	0.1567709787
257	0.1565221323
258	0.1560893109
259	0.1559709097
260	0.155600483
261	0.1553576565
262	0.1552351509
263	0.1549992668
264	0.1549198226
265	0.1544083867
266	0.154187694
267	0.153993549
268	0.1536962102
269	0.1533001118
270	0.1528959141
271	0.1527232765
272	0.1524652383
273	0.1520980136
274	0.1519316257
275	0.1517366179
276	0.1515903381
277	0.1513590592
278	0.151026935
279	0.1507704088
280	0.1506139577
281	0.1504043678
282	0.150022994
283	0.1497956524
284	0.1496359274
285	0.1495139748
286	0.149353445
287	0.1491964116
288	0.1489358559
289	0.1487685351
290	0.1485171073
291	0.1483031415
292	0.1480469071
293	0.1476631749
294	0.1474469945
295	0.1472535376
296	0.1471588739
297	0.1467939054
298	0.1466246472
299	0.1462168434
300	0.1459873574
301	0.1457632643
302	0.1454817735
303	0.1453662813
304	0.1451706179
305	0.1449880703
306	0.1447956933
307	0.1444366976
308	0.1441195182
309	0.1440408023
310	0.1439541183
311	0.1436530615
312	0.1435301459
313	0.1432383257
314	0.1429340139
315	0.1426948461
316	0.1424538348
317	0.1423573797
318	0.1422167
319	0.1417741469
320	0.1415323429
321	0.1414029566
322	0.1411504001
323	0.1409734621
324	0.1406762963
325	0.1404919779
326	0.1402225315
327	0.1400808439
328	0.1396786034
329	0.1394553416
330	0.139260596
331	0.1391111355
332	0.1388518342
333	0.138689364
334	0.1384029236
335	0.1382460103
336	0.1378643457
337	0.137713162
338	0.1375899866
339	0.1375251937
340	0.1372889034
341	0.1370253022
342	0.1367870509
343	0.1364768306
344	0.1363744736
345	0.1360790801
346	0.1359397796
347	0.1357309589
348	0.1355233905
349	0.1353257431
350	0.1351494566
351	0.1349389846
352	0.1347014176
353	0.1343890827
354	0.1341079129
355	0.13390039
356	0.1338151883
357	0.1337659134
358	0.1335408314
359	0.1332447741
360	0.1331275626
361	0.1329985185
362	0.1327573776
363	0.1325542438
364	0.1322706855
365	0.1318318163
366	0.1315755711
367	0.1314180127
368	0.1311753623
369	0.1308792494
370	0.1306052697
371	0.1303217847
372	0.1301780977
373	0.1298138138
374	0.1296890823
375	0.1294166468
376	0.1292677626
377	0.1291906769
378	0.1290968313
379	0.1289929317
380	0.128826718
381	0.1284969189
382	0.1284302418
383	0.1279942786
384	0.1278182284
385	0.1276901137
386	0.1274062334
387	0.1272641941
388	0.1270001309
389	0.1268531526
390	0.1266666506
391	0.1264602414
392	0.1261108384
393	0.1259082903
394	0.125804483
395	0.1257373869
396	0.1255933367
397	0.1253806332
398	0.1252304367
399	0.1250875401
400	0.1249266707
401	0.1245706864
402	0.1243982747
403	0.1240228733
404	0.1239155723
405	0.1236666639
406	0.1236039005
407	0.123518211
408	0.1233213172
409	0.1231854824
410	0.1230042959
411	0.122873175
412	0.1226878195
413	0.1225042306
414	0.1223018461
415	0.1221437871
416	0.1219296753
417	0.1217481087
418	0.1215456878
419	0.1213333874
420	0.1211744121
421	0.1209812907
422	0.1208024947
423	0.1206509343
424	0.1205504668
425	0.1203169927
426	0.1201595816
427	0.1198209305
428	0.119747658
429	0.1196309988
430	0.1194597014
431	0.1193434114
432	0.119172999
433	0.1190812768
434	0.1187181608
435	0.1185073182
436	0.1182986029
437	0.1181540914
438	0.1179765764
439	0.1177532644
440	0.1175978891
441	0.1173590933
442	0.1171616658
443	0.1170124491
444	0.1168653219
445	0.1167854513
446	0.1165946552
447	0.1164487509
448	0.1162900071
449	0.1161090975
450	0.1159088219
451	0.1155562018
452	0.1153827278
453	0.1150951437
454	0.1149861704
455	0.1146772959
456	0.1145603547
457	0.1143734949
458	0.1141584984
459	0.1140314955
460	0.1139541117
461	0.1137892977
462	0.1135307088
463	0.1132788877
464	0.1132126454
465	0.1131423996
466	0.1127937194
467	0.1126329606
468	0.1125312064
469	0.1124092596
470	0.1123635405
471	0.1122738996
472	0.1121450322
473	0.1120172193
474	0.1118479181
475	0.1115140778
476	0.1113912564
477	0.1112651514
478	0.1110258895
479	0.1108727856
480	0.1107498419
481	0.1106341926
482	0.110529686
483	0.1102758997
484	0.1100569704
485	0.1098518506
486	0.1096572929
487	0.109496975
488	0.109379475
489	0.109201188
490	0.1089024945
491	0.1087184521
492	0.1085886365
493	0.1084914333
494	0.108386376
495	0.1081853615
496	0.1080477088
497	0.1078243394
498	0.107677281
499	0.1073582398
500	0.1071066973
501	0.1070003107
502	0.1068556751
503	0.1067055131
504	0.1063390186
505	0.10623763
506	0.1061136696
507	0.1057770722
508	0.1057140408
509	0.1056401615
510	0.1053701836
511	0.1052785048
512	0.1050439588
513	0.1049887645
514	0.1049065689
515	0.1047201346
516	0.1045795845
517	0.1043758854
518	0.1043093396
519	0.1040313754
520	0.1037942852
521	0.103703529
522	0.1034221719
523	0.1033015962
524	0.1031683269
525	0.1030053335
526	0.1028982853
527	0.1027210062
528	0.1025356938
529	0.102366358
530	0.1022723625
531	0.1021011064
532	0.1018940264
533	0.1017861325
534	0.1016584319
535	0.1015337244
536	0.1014278774
537	0.1012480397
538	0.1010519763
539	0.1009978619
540	0.1009027989
541	0.1007800052
542	0.1006727747
543	0.1004191653
544	0.1003200985
545	0.1002024676
546	0.1000545722
547	0.09997680107
548	0.09983724879
549	0.09966751293
550	0.09959455811
551	0.0995431058
552	0.09945175483
553	0.09925758735
554	0.09916727171
555	0.09901017334
556	0.0988497072
557	0.09872353374
558	0.09863818099
559	0.09856644177
560	0.09843445216
561	0.09836736971
562	0.09825100233
563	0.09807769218
564	0.09789167092
565	0.09771701382
566	0.09762050622
567	0.09746283586
568	0.097289336
569	0.09718262276
570	0.09698662603
571	0.09690885749
572	0.09675739294
573	0.09669814418
574	0.09652004674
575	0.09634467904
576	0.09618810726
577	0.09604029595
578	0.09589639538
579	0.09579651362
580	0.09570036709
581	0.09550941646
582	0.09536159406
583	0.09519690781
584	0.09502292364
585	0.09495313866
586	0.09481554023
587	0.09476211377
588	0.09449043738
589	0.09444231479
590	0.09436077726
591	0.09414523028
592	0.09399083577
593	0.09391146014
594	0.09378297171
595	0.09371046357
596	0.09361019951
597	0.09348373067
598	0.09331693757
599	0.09322410377
600	0.09303324693
601	0.09291390492
602	0.09282021618
603	0.09262082446
604	0.09254017458
605	0.09243130596
606	0.09228268765
607	0.09211972548
608	0.0920177232
609	0.09190010726
610	0.0917729581
611	0.09174445498
612	0.09161652555
613	0.09147662588
614	0.09131114243
615	0.0911502499
616	0.09104987056
617	0.09098440896
618	0.09091733838
619	0.09084991092
620	0.09069879499
621	0.09061782526
622	0.0905230186
623	0.09043464683
624	0.0903187401
625	0.09023659001
626	0.08996384477
627	0.08982842431
628	0.08970572153
629	0.08961840395
630	0.08954907756
631	0.08932129986
632	0.08902200685
633	0.08894792778
634	0.08891840144
635	0.08875701632
636	0.0886079364
637	0.08849085321
638	0.08843344888
639	0.08835490397
640	0.08824429281
641	0.08814424956
642	0.08810209861
643	0.08803899571
644	0.08789644451
645	0.0878423894
646	0.08781568756
647	0.08770797677
648	0.0875935664
649	0.08753399657
650	0.08746843143
651	0.08737875288
652	0.087143245
653	0.0870942889
654	0.08702131901
655	0.08691269774
656	0.08665772445
657	0.08657307198
658	0.08647531362
659	0.08636714175
660	0.08625163628
661	0.08615728892
662	0.08601353029
663	0.08585780927
664	0.08570735653
665	0.08559746378
666	0.08550019729
667	0.08537188562
668	0.08516623823
669	0.08504872859
670	0.08501009896
671	0.08482896903
672	0.08471022165
673	0.0846011706
674	0.08450005047
675	0.08438837585
676	0.08430359697
677	0.08412576191
678	0.08392371579
679	0.08383036141
680	0.08373499423
681	0.08353367163
682	0.08349942749
683	0.08334764037
684	0.08315230607
685	0.08285055341
686	0.08276602159
687	0.08267828722
688	0.08262220292
689	0.08241940779
690	0.08214024905
691	0.08205434555
692	0.08189637602
693	0.08177368813
694	0.08172900228
695	0.08160540238
696	0.08151547597
697	0.08134985119
698	0.08128214481
699	0.08121249416
700	0.08105538145
701	0.0809781317
702	0.08090086454
703	0.08082378495
704	0.0806987308
705	0.08051113089
706	0.08044773723
707	0.08029488022
708	0.08010316043
709	0.07988120695
710	0.07976452661
711	0.07945297303
712	0.07926891229
713	0.079159793
714	0.0790262855
715	0.07888265292
716	0.078816609
717	0.07869947403
718	0.0785943475
719	0.07853928201
720	0.07834966683
721	0.07812156285
722	0.07803993327
723	0.0779376256
724	0.07782913303
725	0.07779503221
726	0.07769813195
727	0.0775646799
728	0.07746445121
729	0.07742384644
730	0.07734733817
731	0.07725187323
732	0.07717467126
733	0.07705230118
734	0.07696053039
735	0.07687867871
736	0.07680935172
737	0.0766921633
738	0.07656156735
739	0.07652816009
740	0.07644795096
741	0.07636709701
742	0.07628959341
743	0.07616689224
744	0.0760158882
745	0.07596161931
746	0.07586100385
747	0.07577607859
748	0.0757095602
749	0.07555525722
750	0.07547160804
751	0.07533672892
752	0.0751971177
753	0.07508121999
754	0.07494558465
755	0.07485087407
756	0.07474136122
757	0.07459915437
758	0.07453459021
759	0.07445541702
760	0.07433703458
761	0.07420377265
762	0.07410459811
763	0.07405914709
764	0.0740116582
765	0.07390598787
766	0.07387397664
767	0.07380717419
768	0.07373459852
769	0.07358121211
770	0.07352358171
771	0.07346706813
772	0.07339988506
773	0.07319895636
774	0.07312907651
775	0.07306504827
776	0.07295526528
777	0.07285184015
778	0.07279422101
779	0.07267192957
780	0.07260761027
781	0.07253149557
782	0.07244212942
783	0.07239820076
784	0.07231951449
785	0.07222686507
786	0.07210650211
787	0.07199058902
788	0.07187286556
789	0.07174537516
790	0.07166407813
791	0.07144312749
792	0.07134728046
793	0.07131057667
794	0.07120922558
795	0.07118879786
796	0.07112272078
797	0.07096168898
798	0.07089355323
799	0.07082445736
800	0.07076877181
801	0.07068889677
802	0.07062091953
803	0.0705090067
804	0.07045765353
805	0.07037068631
806	0.07024583129
807	0.07018746103
808	0.07014633681
809	0.07009521556
810	0.07003016185
811	0.06994383557
812	0.06983886573
813	0.06977478462
814	0.06965694083
815	0.06961635793
816	0.06956715195
817	0.06950500518
818	0.0693740848
819	0.06930872151
820	0.06924875444
821	0.06918665366
822	0.06914637442
823	0.06904211527
824	0.06901888551
825	0.06885138813
826	0.06880553483
827	0.06873739582
828	0.06867617777
829	0.06859956964
830	0.06858178152
831	0.06845052728
832	0.06835661024
833	0.06822615268
834	0.06814217748
835	0.06811428977
836	0.06803795825
837	0.06796953278
838	0.06791690295
839	0.06788202946
840	0.06780699975
841	0.06776138795
842	0.06763329497
843	0.06749467844
844	0.06745329962
845	0.0674360462
846	0.06735211359
847	0.06727782669
848	0.06718818724
849	0.06711141812
850	0.0669890502
851	0.06687755933
852	0.06675957216
853	0.06668241812
854	0.06660864201
855	0.06658257396
856	0.06655713176
857	0.06649428589
858	0.0664318922
859	0.06634866613
860	0.06628326993
861	0.0662539247
862	0.06618754624
863	0.06609224456
864	0.06597438952
865	0.06582049385
866	0.06574742052
867	0.06572041846
868	0.06565153455
869	0.06560977207
870	0.06551746142
871	0.06544910016
872	0.0653362447
873	0.0652349738
874	0.06510014288
875	0.06505565793
876	0.06496637545
877	0.06484028888
878	0.06471491884
879	0.0646475684
880	0.06457638095
881	0.06452931546
882	0.06440855211
883	0.0642663696
884	0.06414043823
885	0.06402852543
886	0.06397334654
887	0.06389261493
888	0.06381832321
889	0.06370380778
890	0.0636491004
891	0.06357559221
892	0.06351768952
893	0.0634604885
894	0.0633714521
895	0.06327030824
896	0.06316745975
897	0.06307615318
898	0.0629870366
899	0.06280758078
900	0.0627247591
901	0.06256864873
902	0.06252905164
903	0.06249442637
904	0.06243553548
905	0.06238632117
906	0.06231848902
907	0.06228080219
908	0.06222865754
909	0.06219594537
910	0.06214014453
911	0.06200880943
912	0.06195371406
913	0.06187230292
914	0.0617872852
915	0.06176875513
916	0.06171279253
917	0.06161134086
918	0.06152314098
919	0.06142555985
920	0.06135325455
921	0.06132588484
922	0.06123663722
923	0.06118522689
924	0.06112886895
925	0.0610679669
926	0.06104577064
927	0.06099649223
928	0.0609125396
929	0.06079299401
930	0.06072204061
931	0.06065970532
932	0.06062959529
933	0.06058606952
934	0.06055831244
935	0.06044423093
936	0.06037865739
937	0.06031828907
938	0.06025927085
939	0.06008083211
940	0.06002009628
941	0.0598914916
942	0.05980807845
943	0.05971113841
944	0.05964549145
945	0.05957476028
946	0.05952698417
947	0.05944526917
948	0.05939554778
949	0.05925287261
950	0.05920426529
951	0.05907862392
952	0.05901500113
953	0.05893295648
954	0.05884024793
955	0.05880208398
956	0.05876032742
957	0.05871332852
958	0.05865026689
959	0.05851803215
960	0.05845607224
961	0.058401989
962	0.05836404671
963	0.05831488951
964	0.05825491733
965	0.05820597138
966	0.05815439985
967	0.05810996928
968	0.05805499137
969	0.05796238656
970	0.05795281558
971	0.05781281255
972	0.05774537864
973	0.05765277739
974	0.05762810796
975	0.05756315971
976	0.05752652429
977	0.05744820976
978	0.05742954273
979	0.05737327496
980	0.0572958868
981	0.05726045868
982	0.05719631719
983	0.05712688373
984	0.05708909982
985	0.05697419993
986	0.05690930015
987	0.05686148566
988	0.05684546883
989	0.05677625219
990	0.05671679963
991	0.05664526239
992	0.05659106363
993	0.056505055
994	0.05643822486
995	0.05636738865
996	0.05630139455
997	0.05628345886
998	0.05622271225
999	0.05615547703
